country,year,source_file,file_path,missing_agencies
Denmark,2016,2016 A20150000230.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2016 A20150000230.pdf,Uddannelses- og Forskningsministeriet (UFM)
Denmark,2017,2017 A20160000230.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2017 A20160000230.pdf,Uddannelses- og Forskningsministeriet (UFM)
Denmark,2018,2018 A20170000230.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2018 A20170000230.pdf,Uddannelses- og Forskningsministeriet (UFM)
Denmark,2019,2019 AE2602.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2019 AE2602.pdf,Uddannelses- og Forskningsministeriet (UFM)
Denmark,2020,2020 AE2755 (3).pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2020 AE2755 (3).pdf,Uddannelses- og Forskningsministeriet (UFM)
Denmark,2021,2021 AE2845.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2021 AE2845.pdf,Uddannelses- og Forskningsministeriet (UFM)
Denmark,2022,2022 AE2954.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2022 AE2954.pdf,Uddannelses- og Forskningsministeriet (UFM)
Denmark,2023,2023 AE3069.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2023 AE3069.pdf,Uddannelses- og Forskningsministeriet (UFM)
Denmark,2025,2025 AE3209.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2025 AE3209.pdf,Uddannelses- og Forskningsministeriet (UFM)
Denmark,2001,2001 20001_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2001 20001_L1_som_vedtaget.pdf,Videnskabsministeriet
Denmark,2003,2003 20021_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2003 20021_L1_som_vedtaget.pdf,Videnskabsministeriet
Denmark,2004,2004 20031_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2004 20031_L1_som_vedtaget.pdf,Videnskabsministeriet
Denmark,2005,2005 20041_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2005 20041_L1_som_vedtaget.pdf,Videnskabsministeriet
Denmark,2006,2006 20051_L2_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2006 20051_L2_som_vedtaget.pdf,Videnskabsministeriet
Denmark,2007,2007 20061_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2007 20061_L1_som_vedtaget.pdf,Videnskabsministeriet
Denmark,2010,2010 A20090000230.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/2010 A20090000230.pdf,Videnskabsministeriet
Denmark,1975,1975 19742_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1975 19742_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1976,1976 19751_L100_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1976 19751_L100_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1977,1977 19762_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1977 19762_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1978,1978 19771_L101_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1978 19771_L101_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1979,1979 9781_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1979 9781_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1980,1980 19792_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1980 19792_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1981,1981 19801_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1981 19801_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1982,1982 19812_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1982 19812_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1983,1983 19821_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1983 19821_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1984,1984 19832_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1984 19832_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1985,1985 19841_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1985 19841_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1986,1986 19851_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1986 19851_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1987,1987 19861_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1987 19861_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1988,1988 19871_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1988 19871_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1989,1989 19881_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1989 19881_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
Denmark,1990,1990 19891_L1_som_vedtaget.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Denmark/1990 19891_L1_som_vedtaget.pdf,Undervisningsministeriet (research section)
