country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
France,1970,Research (Pre-LOLF Ministry Chapter),rd_ministry,missing,,"Found in raw_rows: 'Total pour les services généraux' = 70,575 in JORF_1970.pdf",yes,70574.98,JORF_1970.pdf,reclassify,,,,22238000.0
France,1972,Research (Pre-LOLF Ministry Chapter),rd_ministry,missing,,Found in raw_rows: 'Subvention pour la recherche en socio-économie' = 0 in JORF_1972.pdf,yes,0.0,JORF_1972.pdf,reclassify,,,,22238000.0
France,1973,Research (Pre-LOLF Ministry Chapter),rd_ministry,missing,,"Found in raw_rows: 'Développement industriel et scientifique' = 366,947,808 in JORF_1973.pdf",yes,366947808.0,JORF_1973.pdf,reclassify,,,,22238000.0
France,1974,Research (Pre-LOLF Ministry Chapter),rd_ministry,missing,,"Found in raw_rows: 'Total pour le titre V' = 9,077,835,000 in JORF_1974.pdf",yes,9077835000.0,JORF_1974.pdf,reclassify,,,,22238000.0
France,1977,Research (Pre-LOLF Ministry Chapter),rd_ministry,ok,,,,,,none,22238000.0,FRF,,120093000.0
France,1978,Research (Pre-LOLF Ministry Chapter),rd_ministry,missing,,"Found in raw_rows: 'Total pour la section Recherche' = 700,155,000 in JORF_1978.pdf",yes,700155000.0,JORF_1978.pdf,reclassify,,,22238000.0,120093000.0
France,1979,Research (Pre-LOLF Ministry Chapter),rd_ministry,missing,,"Found in raw_rows: 'Total pour la recherche' = 134,850,000 in JORF_1979.pdf",yes,134850000.0,JORF_1979.pdf,reclassify,,,22238000.0,120093000.0
France,1981,Research (Pre-LOLF Ministry Chapter),rd_ministry,ok,,,,,,none,120093000.0,FRF,22238000.0,5611994.0
France,1982,Research (Pre-LOLF Ministry Chapter),rd_ministry,ok,,,,,,none,5611994.0,FRF,120093000.0,2111643810.0
France,1983,Research (Pre-LOLF Ministry Chapter),rd_ministry,ok,,,,,,none,2111643810.0,FRF,5611994.0,2216963000.0
France,1984,Research (Pre-LOLF Ministry Chapter),rd_ministry,missing,,"Found in raw_rows: 'Total pour l'état C' = 25,000,000 in JORF_1984.pdf",yes,25000000.0,JORF_1984.pdf,reclassify,,,2111643810.0,2216963000.0
